"機關代碼","機關名稱","郵遞區號","機關地址","機關電話","主管機關代碼","主管機關名稱","傳真","機關生效日期","機關裁撤日期","機關層級","裁撤註記","新機關代碼","新機關名稱","新機關生效日","舊機關代碼","舊機關名稱"
"301011300C","內政部警政署保安警察第二總隊","235","新北市中和區景平路一二三號","--","301010000C","內政部警政署","-29479412-","0000000","1030101","4","是","A01011200C","內政部警政署保安警察第二總隊","1030101","",""
"301011400C","內政部警政署保安警察第三總隊","231","台北縣新店市屈尺路十一號","02-26668601","301010000C","內政部警政署","26664202","0000000","1030101","4","是","A01011300C","內政部警政署保安警察第三總隊","1030101","",""
"301011500C","內政部警政署保安警察第四總隊","500","彰化市南郭路一段三八三號","","301010000C","內政部警政署","04-7283678","0000000","1030101","4","是","A01011400C","內政部警政署保安警察第四總隊","1030101","",""
"301011600C","內政部警政署保安警察第五總隊","814","高雄市仁武區中正路451號","07-3720343-","301010000C","內政部警政署","07-3748257-","0000000","1030101","4","是","A01011500C","內政部警政署保安警察第五總隊","1030101","",""
"301011700C","內政部警政署保安警察第六總隊","100","台北市南昌路1段10號","02-23946717-","301010000C","內政部警政署","02-23570938-","0000000","1030101","4","是","A01011600C","內政部警政署保安警察第六總隊","1030101","",""
"301011800C","內政部警政署保安警察第七總隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301011900C","內政部警政署雪霸國家公園警察隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301012000C","內政部警政署國道公路警察局","243","新北市泰山區黎明里半山雅70號之2","02-29094111-","301010000C","內政部警政署","02-22972531-","0000000","1030101","4","是","A01010300C","內政部警政署國道公路警察局","1030101","",""
"301012100C","內政部警政署金門國家公園警察隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301012200C","內政部警政署水上警察局","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301012300C","內政部警政署國家公園警察大隊","112","台北市北投區新生街11號","02-28625341","301010000C","內政部警政署","02-28624275","0000000","1030101","4","是","A01011700C","內政部警政署保安警察第七總隊","1030101","",""
"3010124009","內政部警政署臺保總隊(事業單位預算)","","","","301010000C","內政部警政署","","0000000","0000000","4","是","","","","",""
"301012400C","內政部警政署臺灣保安警察總隊","116","台北市文山區萬盛街15號","02-29346721-","301010000C","內政部警政署","--","0000000","1030101","4","是","A01011700C","內政部警政署保安警察第七總隊","1030101","",""
"301012401C","內政部警政署臺灣保安警察總隊第一隊","116","台北市萬盛街十五號","29348622","301012400C","內政部警政署臺灣保安警察總隊","","0000000","0960906","5","是","","","","",""
"301012402C","內政部警政署臺灣保安警察總隊第二隊","","","","301012400C","內政部警政署臺灣保安警察總隊","","0000000","0960906","5","是","","","","",""
"301012403C","內政部警政署臺灣保安警察總隊第三隊","100","台北市中正區重慶南路120號","02-23493282-","A01011700C","內政部警政署保安警察第七總隊","--","0000000","1030101","5","是","","","","301012407C","內政部警政署臺灣保安警察總隊第七隊"
"301012404C","內政部警政署臺灣保安警察總隊第四隊","116","台北市萬盛街15號","--","A01011700C","內政部警政署保安警察第七總隊","--","0000000","1030101","5","是","","","","301012408C","內政部警政署臺灣保安警察總隊第八隊"
"301012405C","內政部警政署臺灣保安警察總隊第五隊","325","桃園縣龍潭鄉佳安路3-1號","03-4712014-","A01011700C","內政部警政署保安警察第七總隊","--","0000000","1030101","5","是","","","","",""
"301012406C","內政部警政署臺灣保安警察總隊第六隊","715","台南縣楠西鄉曾文新村70號","06-5753354-","A01011700C","內政部警政署保安警察第七總隊","--","0000000","1030101","5","是","","","","",""
"301012407C","內政部警政署臺灣保安警察總隊第七隊","100","台北市重慶南路一段二二０號","23493276","301012400C","內政部警政署臺灣保安警察總隊","","0000000","0920220","5","是","301012403C","內政部警政署臺灣保安警察總隊第三隊","0000000","",""
"301012408C","內政部警政署臺灣保安警察總隊第八隊","540","南投縣中興新村環山路一號","049-2316091","301012400C","內政部警政署臺灣保安警察總隊","","0000000","0920220","5","是","301012404C","內政部警政署臺灣保安警察總隊第四隊","0000000","",""
"301012500C","內政部警政署基隆港務警察所","202","基隆市中正路五之一號","","301010000C","內政部警政署","24230150","0000000","0910102","4","是","","","","",""
"301012600C","內政部警政署臺中港務警察所","435","台中縣梧棲鎮中橫四路二號","","301010000C","內政部警政署","26568444","0000000","0910102","4","是","","","","",""
"301012700C","內政部警政署高雄港務警察所","804","高雄市蓬萊路二四號","","301010000C","內政部警政署","","0000000","0910102","4","是","","","","",""
"301012800C","內政部警政署花蓮港務警察所","970","花蓮市港口路一三號","03-822701","301010000C","內政部警政署","03-88222710","0000000","0910102","4","是","","","","",""
"301012900C","內政部警政署警察廣播電台","100","台北市廣州街一七號","23888099","301010000C","內政部警政署","23752601","0000000","0910311","4","是","","","","",""
"301013000C","內政部警政署民防指揮管制中心","116","台北市文山區萬盛街一五號之三","","301010000C","內政部警政署","29346715","0000000","0910102","4","是","","","","",""
"301013100C","內政部警政署鐵路警察局","100","台北市北平西路56號","02-23115580-","301010000C","內政部警政署","-23121024-","0000000","1030101","4","是","A01010400C","內政部警政署鐵路警察局","1030101","",""
"301013101C","內政部警政署鐵路警察局刑事警察隊","103","台北市塔城街二號","-25523401-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013111C","內政部警政署鐵路警察局第一警務段","100","台北市北平西路五十六號","-23711396-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013112C","內政部警政署鐵路警察局第二警務段","401","台中市新民街卅二號","04-22123525-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013113C","內政部警政署鐵路警察局第三警務段","807","高雄市三民區建國三路二之六號","07-2619148-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013114C","內政部警政署鐵路警察局第四警務段","970","花蓮市中山路七十一號","038-331040-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013115C","內政部警政署鐵路警察局高鐵警務段","401","台中市東區新民街32號","04-22123525-","A01010400C","內政部警政署鐵路警察局","--","0950701","1030101","5","是","","","","",""
"301013121C","內政部警政署鐵路警察局護車隊","100","台北市北平西路五十六號","-23113539-","A01010400C","內政部警政署鐵路警察局","--","0000000","1030101","5","是","","","","",""
"301013200C","內政部警政署警察電訊所","116","台北市文山區萬盛街15號之1","02-29307219","301010000C","內政部警政署","29340805","0000000","1030101","4","是","A01014100C","內政部警政署警察通訊所","1030101","",""
"301013300C","內政部警政署警察機械修理廠","106","台北市臥龍街二三六號","02-27356980-","301010000C","內政部警政署","02-27337167-","0000000","1030101","4","是","A01014300C","內政部警政署警察機械修理廠","1030101","",""
"301013400C","內政部警政署電信警察隊","106","台北市信義路三段一一一巷十八號","","301010000C","內政部警政署","","0000000","0931231","4","是","","","","",""
"301013500C","內政部警政署基隆港務警察局","202","基隆市中正區中正路5-1號","02-24222177-","301010000C","內政部警政署","-24230150-","0910102","1030101","4","是","A01012100C","內政部警政署基隆港務警察總隊","1030101","",""
"301013600C","內政部警政署臺中港務警察局","435","台中縣梧棲鎮中橫四路2號","04-26562174","301010000C","內政部警政署","04-26573640","0910102","1030101","4","是","A01012200C","內政部警政署臺中港務警察總隊","1030101","",""
"301013700C","內政部警政署高雄港務警察局","804","高雄市鼓山區蓬萊路24號","07-5330535","301010000C","內政部警政署","","0910102","1030101","4","是","A01012300C","內政部警政署高雄港務警察總隊","1030101","",""
"301013800C","內政部警政署花蓮港務警察局","970","花蓮市港口路13號","03-222701","301010000C","內政部警政署","","0910102","1030101","4","是","A01012400C","內政部警政署花蓮港務警察總隊","1030101","",""
"301013900C","內政部警政署民防防情指揮管制所","116","台北市文山區萬盛街15-3號","02-29346715-","301010000C","內政部警政署","02-29304752-","0910102","1030101","4","是","A01014200C","內政部警政署民防指揮管制所","1030101","",""
"301014000C","內政部警政署警察廣播電臺","100","台北市廣州街一七號","23888099","301010000C","內政部警政署","23752601","0910311","1030101","4","是","A01014400C","內政部警政署警察廣播電臺","1030101","",""
"301014100C","內政部警政署環境保護警察隊","115","台北市南港區昆陽街一六一之一號","02-23931791","301010000C","內政部警政署","","0910703","0931231","4","是","","","","",""
"3010200009","營建署-(營建建設基金-中央國民住宅基金)","","","","301020000G","內政部營建署","","0000000","0000000","4","是","","","","",""
"301020000G","內政部營建署","10556","台北市八德路二段三四二號","02-87712422-","301000000A","內政部","02-87712439-","0000000","","3","","","","","",""
"301020100G","內政部營建署墾丁國家公園管理處","946","屏東縣恆春鎮墾丁路五九六號","08-8861321","301020000G","內政部營建署","08-8862085","0000000","0961207","4","是","301020800G","墾丁國家公園管理處","0960614","",""
"301020200G","內政部營建署玉山國家公園管理處","553","南投縣水里鄉中山路一段三００號","049-2773121","301020000G","內政部營建署","049-2348274","0000000","0961207","4","是","301020900G","玉山國家公園管理處","0960614","",""
"301020300G","內政部營建署陽明山國家公園管理處","112","台北市陽明山竹子湖路一之二十號","02-28613601","301020000G","內政部營建署","02-28611504","0000000","0961207","4","是","301021000G","陽明山國家公園管理處","0960614","",""
"301020400G","內政部營建署太魯閣國家公園管理處","972","花蓮縣秀林鄉富世村二九一號","03-8621100","301020000G","內政部營建署","03-8621083","0000000","0961207","4","是","301021100G","太魯閣國家公園管理處","0960614","",""
"301020500G","內政部營建署雪霸國家公園管理處","364","苗栗縣大湖鄉富興村水尾坪一００號","037-996100","301020000G","內政部營建署","037-996302","0000000","0961207","4","是","301021200G","雪霸國家公園管理處","0960614","",""
"301020600G","內政部營建署金門國家公園管理處","892","金門縣金寧鄉伯玉路二段460號","082-313100","301020000G","內政部營建署","082-322051","0000000","0961207","4","是","301021300G","金門國家公園管理處","0960614","",""
"301020700G","海洋國家公園管理處","811","高雄市楠梓區德民路24號","07-3601898-","301020000G","內政部營建署","07-3645872-","0960706","","4","","","","","",""
"301020800G","墾丁國家公園管理處","946","屏東縣恆春鎮墾丁路596號","08-8861321-271","301020000G","內政部營建署","08-8862332-","0960614","","4","","","","","301020100G","內政部營建署墾丁國家公園管理處"
"301020900G","玉山國家公園管理處","55344","南投縣水里鄉中山路一段515號","049-2773121-","301020000G","內政部營建署","049-2348274-","0960614","","4","","","","","301020200G","內政部營建署玉山國家公園管理處"
"301021000G","陽明山國家公園管理處","112","台北市陽明山竹子湖路1-20號","02-28613601-","301020000G","內政部營建署","02-28611504-","0960614","","4","","","","","301020300G","內政部營建署陽明山國家公園管理處"
"301021100G","太魯閣國家公園管理處","972","花蓮縣秀林鄉富世村291號","03-8621100-301","301020000G","內政部營建署","03-8621718-","0960614","","4","","","","","301020400G","內政部營建署太魯閣國家公園管理處"
"301021200G","雪霸國家公園管理處","364","苗栗縣大湖鄉富興村水尾坪100號","037-996100","301020000G","內政部營建署","037-996302","0960614","","4","","","","","301020500G","內政部營建署雪霸國家公園管理處"
"301021300G","金門國家公園管理處","892","金門縣金寧鄉伯玉路二段460號","082-313100","301020000G","內政部營建署","082-322051","0960614","","4","","","","","301020600G","內政部營建署金門國家公園管理處"
"301021400G","台江國家公園管理處","70841","臺南市安平區城平路2號","06-3910000-","301020000G","內政部營建署","--","0981228","","4","","","","","",""
"301023100G","內政部營建署市鄉規劃局","105","台北市八德路二段三四二號","02-27721350","301020000G","內政部營建署","","0000000","0970821","4","是","301023400G","內政部營建署城鄉發展分署","0970826","",""
"301023200G","內政部營建署重機械工程隊","105","台北市八德路二段三四二號","02-27714144","301020000G","內政部營建署","02-27729502","0000000","0971002","4","是","","","","",""
"301023300G","內政部營建署新生地開發局","970","花蓮市介壽五街二號","03-8221191","301020000G","內政部營建署","03-8235070","0000000","0970821","4","是","301023400G","內政部營建署城鄉發展分署","0970826","",""
"301023400G","內政部營建署城鄉發展分署","10556","台北市八德路二段342號","02-27721350","301020000G","內政部營建署","","0970826","","4","","","","","301023100G","內政部營建署市鄉規劃局"
"301030000J","內政部職業訓練局","","","--","301000000A","內政部","--","0000000","0000000","3","是","","","","",""
"301030100J","內政部職業訓練局泰山職業訓練中心","","","--","301030000J","內政部職業訓練局","--","0000000","0000000","4","是","","","","",""
"301030200J","內政部職業訓練局中區職業訓練中心","","","--","301030000J","內政部職業訓練局","--","0000000","0000000","4","是","","","","",""
"301030300J","內政部職業訓練局北區職業訓練中心","","","--","301030000J","內政部職業訓練局","--","0000000","0000000","4","是","","","","",""
"301030400J","內政部職業訓練局南區職業訓練中心","","","--","301030000J","內政部職業訓練局","--","0000000","0000000","4","是","","","","",""
"301040000G","內政部建築研究所籌備處","","","--","301000000A","內政部","--","0000000","0000000","3","是","","","","",""
"301050000C","內政部消防署籌備處","","","--","301000000A","內政部","--","0000000","0000000","3","是","","","","",""
"301060000C","內政部消防署","231","新北市新店區北新路3段200號8樓","02-89114119-","301000000A","內政部","02-89127116-","0000000","","3","","","","","",""
"301060100C","內政部消防署基隆港務消防隊","20342","基隆市中山二路117號","02-24223009","301060000C","內政部消防署","02-24259232","0000000","","4","","","","","",""
"301060200C","內政部消防署臺中港務消防隊","435","台中縣梧棲鎮中棲路三段91巷90號","04-26572480","301060000C","內政部消防署","04-26576430","0000000","","4","","","","","",""
"301060300C","內政部消防署高雄港務消防隊","804","高雄市鼓山區臨海新路25號","07-5622601-","301060000C","內政部消防署","07-5337904-","0000000","","4","","","","","",""
"301060400C","內政部消防署花蓮港務消防隊","970","花蓮市港口路二五號","03-8230103","301060000C","內政部消防署","03-8236771","0000000","","4","","","","","",""
"301060500C","內政部消防署空中消防隊籌備處","100","台北市中正區襄陽路一號七樓","02-23882119","301060000C","內政部消防署","","0910325","0930513","4","是","301120000A","內政部空中勤務總隊籌備處","0930205","",""
"301070000G","內政部建築研究所","231","台北縣新店市北新路三段200號13樓","02-89127890-","301000000A","內政部","02-23774998-","0000000","1020901","3","是","A01070000G","內政部建築研究所","1020901","",""
"301080000G","內政部土地測量局","408","台中市南屯區黎明路二段四九七號四樓","04-22522966-","301000000A","內政部","04-22543403-","0000000","0961106","3","是","301000100G","內政部國土測繪中心","0961116","",""
"301090000G","內政部土地重劃工程局","408","台中市黎明路二段五０三號四樓","04-22524985","301000000A","內政部","04-22518447","0000000","0970102","3","是","301000200G","內政部土地重劃工程處","0970101","",""
"301100000A","內政部兒童局","408","台中市南屯區黎明路二段五０三號七樓","04-22502850-","301000000A","內政部","04-22502902-","0000000","1020723","3","是","","","","",""
"301110000A","內政部役政署","540","南投市中興新村光明路21號","049-2394488-","301000000A","內政部","--","0910121","1020901","3","是","A01040000A","內政部役政署","1020901","",""
"301120000A","內政部空中勤務總隊籌備處","105","台北市松山區敦化北路340之2號","02-25472520","301000000A","內政部","02-27187214","0930205","0941118","3","是","301130000A","內政部空中勤務總隊","0941109","301010500C","內政部警政署空中警察隊"
"301130000A","內政部空中勤務總隊","231","新北市新店區北新路三段200號10樓","02-89111100-742","301000000A","內政部","--","0941109","1030101","3","是","A01060000A","內政部空中勤務總隊","1030101","301120000A","內政部空中勤務總隊籌備處"
"3011400001","入出國及移民署-外籍配偶照顧輔導基金","","","","301000000A","內政部","","0000000","0000000","3","是","","","","",""
"301140000A","內政部入出國及移民署","100","台北市廣州街15號","02-2388-9393","301000000A","內政部","--","0960102","1040102","3","是","A01050000A","內政部移民署","1040102","301010100C","內政部警政署入出境管理局"
"301200000T","中央警官學校","","","--","301000000A","內政部","--","0000000","0000000","3","是","","","","",""
"301210000T","中央警察大學","333","桃園縣龜山鄉大崗村樹人路五六號","03-3282321-","301000000A","內政部","30-3275449-","0000000","1050101","3","","A01080000T","中央警察大學","1050101","",""
"301310000J","內政部北區老人之家","231","新北市新店區屏尺路83號","02-26668695-","301000000A","內政部","02-26667747-","0000000","1020723","4","是","A21000100J","衛生福利部北區老人之家","1020723","",""
"301320000J","內政部中區老人之家","520","彰化縣田中鎮碧峰里中南路2段210號","04-8742811","301000000A","內政部","04-8755853","0000000","1020723","4","是","A21000200J","衛生福利部中區老人之家","1020723","",""
"301330000J","內政部南區老人之家","900","屏東市瑞光里香揚巷1號","08-7223434","301000000A","內政部","08-7233922","0000000","1020723","4","是","A21000300J","衛生福利部南區老人之家","1020723","",""
"301340000J","內政部東區老人之家","970","花蓮市民權路125號","03-8221148-","301000000A","內政部","03-8233502-","0000000","1020723","4","是","A21000400J","衛生福利部東區老人之家","1020723","",""
"301350000J","內政部澎湖老人之家","880","澎湖縣馬公市光華里123號","06-9217056","301000000A","內政部","06-9217905","0000000","1020723","4","是","A21000500J","衛生福利部澎湖老人之家","1020723","",""
"301410000J","內政部北區兒童之家","338","桃園縣蘆竹鄉中山路108巷36號","03-3525634","301000000A","內政部","03-3128008-","0000000","1020723","4","是","A21001100J","衛生福利部北區兒童之家","1020723","",""
"301420000J","內政部中區兒童之家","402","台中市西區大明街27號","04-22222294","301000000A","內政部","04-22272066","0000000","1020723","4","是","A21001200J","衛生福利部中區兒童之家","1020723","",""
"301430000J","內政部南區兒童之家","813","高雄市左營區翠華路1401號","07-5824645-","301000000A","內政部","07-5816160-","0000000","1020723","4","是","A21001300J","衛生福利部南區兒童之家","1020723","",""
"301510000J","內政部南投啟智教養院","542","南投縣名間鄉仁和村山腳巷1-7號","049-2730601","301000000A","內政部","049-2730507","0000000","1020723","4","是","A21002100J","衛生福利部南投啟智教養院","1020723","",""
"301520000J","內政部雲林教養院","630","雲林縣斗南鎮忠孝路157號","05-5954359","301000000A","內政部","05-5951811","0000000","1020723","4","是","A21002200J","衛生福利部雲林教養院","1020723","",""
"301530000J","內政部臺南教養院","731","台南市後壁區後?里68號","06-6621821-","301000000A","內政部","06-6623212-","0000000","1020723","4","是","A21002300J","衛生福利部臺南教養院","1020723","",""
"301540000J","內政部宜蘭教養院籌備處","260","宜蘭市民族路四一五號三樓","03-9359110","301000000A","內政部","03-9321153","0000000","0931012","3","是","","","","",""
"301550000J","內政部古坑教養院籌備處","630","雲林縣斗南鎮忠孝路一七二號","05-5963191","301000000A","內政部","05-5963191","0000000","0931012","3","是","","","","",""
"301610000J","內政部少年之家","300","新竹市崧嶺路181號","03-5222238-","301000000A","內政部","03-5277039-","0000000","1020723","4","是","A21001400J","衛生福利部少年之家","1020723","",""
"301620000J","內政部彰化老人養護中心","500","彰化縣彰化市桃源里虎崗路1號","04-7258131-","301000000A","內政部","04-7290249-","0000000","1020723","4","是","A21000600J","衛生福利部彰化老人養護中心","1020723","",""
"301630000J","內政部社會福利工作人員研習中心","542","南投縣草屯鎮南埔里南坪路528號","--","301000000A","內政部","--","0000000","1020723","4","是","","","","",""
"303000000B","外交部","100","台北市凱達格蘭大道2號","02-23482999-","A00000000A","行政院","02-23898776-","0000000","1010901","2","是","A03000000B","外交部","1010901","",""
"303010000B","外交部外交領事人員講習所","106","台北市敦化南路1段280號","02-27073441-","303000000B","外交部","--","0000000","1010901","3","是","A03020000B","外交部外交及國際事務學院","1010901","",""
"303020000B","亞東關係協會","100","台北市凱達格蘭大道二號","02-23482999-","303000000B","外交部","--","0000000","1010901","3","是","","","","",""
"303030000B","外交部領事事務局","100","台北市濟南路1段2-2號5樓","02-23432888-","303000000B","外交部","-223432980-","0000000","1010901","3","是","A03010000B","外交部領事事務局","1010901","",""
"303060000B","駐亞特蘭大辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303070000B","駐芝加哥辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303080000B","駐紐約辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303090000B","駐西雅圖辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303100000B","駐波士頓辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303110000B","駐堪薩斯辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303120000B","駐邁阿密辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303130000B","駐關島辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303140000B","駐洛杉磯辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303150000B","駐休士頓辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303160000B","駐檀香山辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303170000B","駐舊金山辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303180000B","駐愛丁堡辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303190000B","駐日內瓦辦事處","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303200000B","駐玻利維亞共和國大使館","","","--","303000000B","外交部","--","0000000","0000000","3","是","","","","",""
"303210000B","駐哥斯大黎加共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303220000B","駐多明尼加共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303230000B","駐多米尼克大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303240000B","駐薩爾瓦多共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303250000B","駐瓜地馬拉共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303260000B","駐海地共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303270000B","駐教廷大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303280000B","駐宏都拉斯共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303290000B","駐大韓民國大使館","","","--","303000000B","外交部","--","0000000","0000000","3","是","","","","",""
"303300000B","駐馬拉威共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303320000B","駐巴拿馬共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303330000B","駐巴拉圭共和國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303340000B","駐沙烏地阿拉伯王國大使館","","","--","303000000B","外交部","--","0000000","0000000","3","是","","","","",""
"303350000B","駐南非共和國大使館","","","--","303000000B","外交部","--","0000000","0000000","3","是","","","","",""
"303360000B","駐聖克里斯多福大使館","","","--","303000000B","外交部","--","0000000","0991006","3","是","391620000B","駐聖克里斯多福及尼維斯大使館","0991006","",""
"303370000B","駐聖露西亞大使館","","","--","303000000B","外交部","--","0960701","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303380000B","駐聖文森國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303390000B","駐史瓦濟蘭王國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303400000B","駐東加王國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303410000B","駐吐瓦魯國大使館","","","","303000000B","外交部","","0000000","1010901","3","是","A03030000B","駐外機構","1010901","",""
"303420000B","駐烏拉圭共和國大使館","","","--","303000000B","外交部","--","0000000","0000000","3","是","","","","",""
